state_fips,state,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Grand Total
28,Mississippi,,8,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,8,,,3,,,6,5,,,43
29,Missouri,,6,1,32,16,21,23,1,12,11,,28,26,15,,,,,6,78,165,176,137,62,54,62,48,12,10,2,9,2,4,6,20,9,85,20,11,1170
31,Nebraska,,43,,48,43,29,17,9,17,26,,10,16,17,,,,,,10,42,89,13,7,8,,1,,,,,,,,,,17,,10,472
32,Nevada,,1,1,24,24,4,15,21,13,18,11,7,,3,,,,,1,,13,20,,13,1,,3,3,3,9,,,,1,,19,26,26,18,298
33,New Hampshire,,,,,,10,,,,,,,,,,,,,,4,,19,19,37,9,9,,3,,,1,,,,,,5,,,116
34,New Jersey,,39,12,69,65,62,64,96,44,47,12,5,22,8,,,,,,26,23,32,22,21,8,1,,,11,,2,5,,5,,9,22,6,,738
35,New Mexico,,7,,10,1,9,10,13,9,,,,2,,,,,,,10,5,27,24,1,2,,1,,,,,7,6,31,4,70,71,,15,335
36,New York,21,401,51,495,456,402,456,412,473,240,10,119,208,79,6,2,2,,,19,139,75,90,61,47,50,78,20,59,15,21,12,46,57,79,78,338,76,55,5248
37,North Carolina,,32,,17,15,8,17,26,2,10,,,11,4,,,,,,,5,3,,1,,,,,15,2,4,15,26,14,29,46,142,36,18,498
38,North Dakota,,8,,,,,,,,,,16,11,,,,,,4,23,5,,5,,2,,,,,6,,5,,,7,2,8,,10,112
39,Ohio,,32,,4,8,2,18,5,9,2,,,9,5,,,,,,,,23,41,10,1,2,6,15,,1,2,16,7,3,9,39,147,21,25,462
40,Oklahoma,,3,,3,10,2,8,5,4,,,,1,,,,,,,,,5,2,13,1,,,2,7,4,,,,10,,,,,,80
41,Oregon,3,27,,15,16,22,6,6,13,23,,9,65,3,,,,,4,8,35,28,20,7,15,,6,10,17,11,17,26,13,11,23,16,23,9,3,510
42,Pennsylvania,20,71,,16,27,29,50,44,15,33,3,27,28,11,,,5,,7,,,38,45,30,14,6,4,45,73,37,6,6,6,16,4,54,21,14,10,815
44,Rhode Island,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,7,10,1,4,28
45,South Carolina,,1,,4,3,5,7,,4,,,,,,,,,,,5,,3,2,,,4,,,,1,10,1,,,4,,5,14,4,77
46,South Dakota,,,4,8,1,1,9,1,,14,,5,,,,,,,,,,20,24,9,3,,,,3,,1,1,,,,,,,,104
47,Tennessee,,16,1,16,7,29,2,24,46,48,,,10,,,,,,,4,23,19,34,19,19,15,,19,8,,5,4,,,3,7,58,10,6,452
48,Texas,,58,16,76,80,84,128,164,28,44,7,20,25,3,,,,,,8,137,250,183,99,67,107,83,48,19,21,34,33,32,47,84,64,237,67,52,2405
49,Utah,,5,,6,2,1,3,,7,,,,25,3,,2,,,,10,28,52,52,41,,12,3,,7,,6,10,22,12,30,16,30,14,4,403
50,Vermont,,,,,,,,,,,,,,,,,,,8,,,13,10,,,,,,,,,,,,,,,,,31
51,Virginia,,235,35,323,294,253,236,272,231,200,9,115,112,62,,,,1,,62,174,206,86,106,59,42,49,45,62,17,34,26,26,56,22,78,115,75,47,3765
53,Washington,,15,9,15,38,24,61,51,43,48,,31,69,20,,,,2,3,11,39,54,50,37,11,18,11,13,7,12,15,18,26,7,21,31,21,23,7,861
54,West Virginia,,,,2,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
55,Wisconsin,2,21,,8,3,24,,,2,,3,2,,,,,,,,,,12,25,13,10,1,1,7,4,,7,1,13,1,,10,26,1,7,204
56,Wyoming,,,7,14,7,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
